Release Date,Time,Actual,Forecast,Previous
"Apr 10, 2019 (Apr)",14:45,0.00%,0.00%,0.00%
"Mar 07, 2019 (Mar)",15:45,0.00%,0.00%,0.00%
"Jan 24, 2019 (Jan)",15:45,0.00%,0.00%,0.00%
"Dec 13, 2018 (Dec)",15:45,0.00%,0.00%,0.00%
"Oct 25, 2018 (Oct)",14:45,0.00%,0.00%,0.00%
"Sep 13, 2018 (Sep)",14:45,0.00%,0.00%,0.00%
"Jul 26, 2018 (Jul)",14:45,0.00%,0.00%,0.00%
"Jun 14, 2018 (Jun)",14:45,0.00%,0.00%,0.00%
"Apr 26, 2018 (Apr)",14:45,0.00%,0.00%,0.00%
"Mar 08, 2018 (Mar)",15:45,0.00%,0.00%,0.00%
"Jan 25, 2018 (Jan)",15:45,0.00%,0.00%,0.00%
"Dec 14, 2017 (Dec)",15:45,0.00%,0.00%,0.00%
"Oct 26, 2017 (Oct)",14:45,0.00%,0.00%,0.00%
"Sep 07, 2017 (Sep)",14:45,0.00%,0.00%,0.00%
"Jul 20, 2017 (Jul)",14:45,0.00%,0.00%,0.00%
"Jun 08, 2017 (Jun)",14:45,0.00%,0.00%,0.00%
"Apr 27, 2017 (Apr)",14:45,0.00%,0.00%,0.00%
"Mar 09, 2017 (Mar)",15:45,0.00%,0.00%,0.00%
"Jan 19, 2017 (Jan)",15:45,0.00%,0.00%,0.00%
"Dec 08, 2016 (Dec)",15:45,0.00%,0.00%,0.00%
"Oct 20, 2016 (Oct)",14:45,0.00%,0.00%,0.00%
"Sep 08, 2016 (Sep)",14:45,0.00%,0.00%,0.00%
"Jul 21, 2016 (Jul)",14:45,0.00%,0.00%,0.00%
"Jun 02, 2016 (Jun)",14:45,0.00%,0.00%,0.00%
"Apr 21, 2016 (Apr)",14:45,0.00%,0.00%,0.00%
"Mar 10, 2016 (Mar)",15:45,0.00%,0.05%,0.05%
"Jan 21, 2016 (Jan)",15:45,0.05%,0.05%,0.05%
"Dec 03, 2015 (Dec)",15:45,0.05%,0.05%,0.05%
"Oct 22, 2015 (Oct)",14:45,0.05%,0.05%,0.05%
"Sep 03, 2015 (Sep)",14:45,0.05%,0.05%,0.05%
"Jul 16, 2015 (Jul)",14:45,0.05%,0.05%,0.05%
"Jun 03, 2015 (Jun)",14:45,0.05%,0.05%,0.05%
"Apr 15, 2015 (Apr)",14:45,0.05%,0.05%,0.05%
"Mar 05, 2015 (Mar)",15:45,0.05%,0.05%,0.05%
"Jan 22, 2015 (Jan)",15:45,0.05%,0.05%,0.05%
"Dec 04, 2014 (Dec)",15:45,0.05%,0.05%,0.05%
"Nov 06, 2014 (Nov)",15:45,0.05%,0.05%,0.05%
"Oct 02, 2014 (Oct)",14:45,0.05%,0.05%,0.05%
"Sep 04, 2014",14:45,0.05%,0.15%,0.15%
"Aug 07, 2014",14:45,0.15%,0.15%,0.15%
